CLR,FAT,SNF,RATE
27,2.7,8.2,29.92
28,2.7,8.3,30.13
28,2.7,8.4,30.35
29,2.7,8.5,30.57
29,2.7,8.6,30.78
29,2.7,8.7,31
30,2.7,8.8,31.22
30,2.7,8.9,31.43
31,2.7,9,31.65
31,2.7,9.1,31.87
31,2.7,9.2,32.08
32,2.7,9.3,32.3
32,2.7,9.4,32.52
33,2.7,9.5,32.73
33,2.7,9.6,32.95
33,2.7,9.7,33.17
34,2.7,9.8,33.38
34,2.7,9.9,33.6
35,2.7,10,33.82
2,2.8,2,16.93
3,2.8,2.1,17.15
3,2.8,2.2,17.37
4,2.8,2.3,17.58
4,2.8,2.4,17.8
4,2.8,2.5,18.02
5,2.8,2.6,18.23
5,2.8,2.7,18.45
6,2.8,2.8,18.67
6,2.8,2.9,18.88
6,2.8,3,19.1
7,2.8,3.1,19.32
7,2.8,3.2,19.53
8,2.8,3.3,19.75
8,2.8,3.4,19.97
8,2.8,3.5,20.18
9,2.8,3.6,20.4
9,2.8,3.7,20.62
10,2.8,3.8,20.83
10,2.8,3.9,21.05
10,2.8,4,21.27
11,2.8,4.1,21.48
11,2.8,4.2,21.7
12,2.8,4.3,21.92
12,2.8,4.4,22.13
12,2.8,4.5,22.35
13,2.8,4.6,22.57
13,2.8,4.7,22.78
14,2.8,4.8,23
14,2.8,4.9,23.22
14,2.8,5,23.43
15,2.8,5.1,23.65
15,2.8,5.2,23.87
16,2.8,5.3,24.08
16,2.8,5.4,24.3
16,2.8,5.5,24.52
17,2.8,5.6,24.73
17,2.8,5.7,24.95
18,2.8,5.8,25.17
18,2.8,5.9,25.38
18,2.8,6,25.6
19,2.8,6.1,25.82
19,2.8,6.2,26.03
20,2.8,6.3,26.25
20,2.8,6.4,26.47
20,2.8,6.5,26.68
21,2.8,6.6,26.9
21,2.8,6.7,27.12
22,2.8,6.8,27.33
22,2.8,6.9,27.55
22,2.8,7,27.77
23,2.8,7.1,27.98
23,2.8,7.2,28.2
24,2.8,7.3,28.42
24,2.8,7.4,28.63
24,2.8,7.5,28.85
25,2.8,7.6,29.07
25,2.8,7.7,29.28
26,2.8,7.8,29.5
26,2.8,7.9,29.72
26,2.8,8,29.93
27,2.8,8.1,30.15
27,2.8,8.2,30.37
28,2.8,8.3,30.58
28,2.8,8.4,30.8
28,2.8,8.5,31.02
29,2.8,8.6,31.23
29,2.8,8.7,31.45
30,2.8,8.8,31.67
30,2.8,8.9,31.88
30,2.8,9,32.1
31,2.8,9.1,32.32
31,2.8,9.2,32.53
32,2.8,9.3,32.75
32,2.8,9.4,32.97
32,2.8,9.5,33.18
33,2.8,9.6,33.4
33,2.8,9.7,33.62
34,2.8,9.8,33.83
34,2.8,9.9,34.05
34,2.8,10,34.27
2,2.9,2,17.38
3,2.9,2.1,17.6
3,2.9,2.2,17.82
4,2.9,2.3,18.03
4,2.9,2.4,18.25
4,2.9,2.5,18.47
5,2.9,2.6,18.68
5,2.9,2.7,18.9
6,2.9,2.8,19.12
6,2.9,2.9,19.33
6,2.9,3,19.55
7,2.9,3.1,19.77
7,2.9,3.2,19.98
8,2.9,3.3,20.2
8,2.9,3.4,20.42
8,2.9,3.5,20.63
9,2.9,3.6,20.85
9,2.9,3.7,21.07
10,2.9,3.8,21.28
10,2.9,3.9,21.5
10,2.9,4,21.72
11,2.9,4.1,21.93
11,2.9,4.2,22.15
12,2.9,4.3,22.37
12,2.9,4.4,22.58
12,2.9,4.5,22.8
13,2.9,4.6,23.02
13,2.9,4.7,23.23
14,2.9,4.8,23.45
14,2.9,4.9,23.67
14,2.9,5,23.88
15,2.9,5.1,24.1
15,2.9,5.2,24.32
16,2.9,5.3,24.53
16,2.9,5.4,24.75
16,2.9,5.5,24.97
17,2.9,5.6,25.18
17,2.9,5.7,25.4
18,2.9,5.8,25.62
18,2.9,5.9,25.83
18,2.9,6,26.05
19,2.9,6.1,26.27
19,2.9,6.2,26.48
20,2.9,6.3,26.7
20,2.9,6.4,26.92
20,2.9,6.5,27.13
21,2.9,6.6,27.35
21,2.9,6.7,27.57
22,2.9,6.8,27.78
22,2.9,6.9,28
22,2.9,7,28.22
23,2.9,7.1,28.43
23,2.9,7.2,28.65
24,2.9,7.3,28.87
24,2.9,7.4,29.08
24,2.9,7.5,29.3
25,2.9,7.6,29.52
25,2.9,7.7,29.73
26,2.9,7.8,29.95
26,2.9,7.9,30.17
26,2.9,8,30.38
27,2.9,8.1,30.6
27,2.9,8.2,30.82
28,2.9,8.3,31.03
28,2.9,8.4,31.25
28,2.9,8.5,31.47
29,2.9,8.6,31.68
29,2.9,8.7,31.9
30,2.9,8.8,32.12
30,2.9,8.9,32.33
30,2.9,9,32.55
31,2.9,9.1,32.77
31,2.9,9.2,32.98
32,2.9,9.3,33.2
32,2.9,9.4,33.42
32,2.9,9.5,33.63
33,2.9,9.6,33.85
33,2.9,9.7,34.07
34,2.9,9.8,34.28
34,2.9,9.9,34.5
34,2.9,10,34.72
2,3,2,17.83
3,3,2.1,18.05
3,3,2.2,18.27
4,3,2.3,18.48
4,3,2.4,18.7
4,3,2.5,18.92
5,3,2.6,19.13
5,3,2.7,19.35
6,3,2.8,19.57
6,3,2.9,19.78
6,3,3,20
7,3,3.1,20.22
7,3,3.2,20.43
8,3,3.3,20.65
8,3,3.4,20.87
8,3,3.5,21.08
9,3,3.6,21.3
9,3,3.7,21.52
10,3,3.8,21.73
10,3,3.9,21.95
10,3,4,22.17
11,3,4.1,22.38
11,3,4.2,22.6
12,3,4.3,22.82
12,3,4.4,23.03
12,3,4.5,23.25
13,3,4.6,23.47
13,3,4.7,23.68
14,3,4.8,23.9
14,3,4.9,24.12
14,3,5,24.33
15,3,5.1,24.55
15,3,5.2,24.77
16,3,5.3,24.98
16,3,5.4,25.2
16,3,5.5,25.42
17,3,5.6,25.63
17,3,5.7,25.85
18,3,5.8,26.07
18,3,5.9,26.28
18,3,6,26.5
19,3,6.1,26.72
19,3,6.2,26.93
20,3,6.3,27.15
20,3,6.4,27.37
20,3,6.5,27.58
21,3,6.6,27.8
21,3,6.7,28.02
22,3,6.8,28.23
22,3,6.9,28.45
22,3,7,28.67
23,3,7.1,28.88
23,3,7.2,29.1
24,3,7.3,29.32
24,3,7.4,29.53
24,3,7.5,29.75
25,3,7.6,29.97
25,3,7.7,30.18
26,3,7.8,30.4
26,3,7.9,30.62
26,3,8,30.83
27,3,8.1,31.05
27,3,8.2,31.27
28,3,8.3,31.48
28,3,8.4,31.7
28,3,8.5,31.92
29,3,8.6,32.13
29,3,8.7,32.35
30,3,8.8,32.57
30,3,8.9,32.78
30,3,9,33
31,3,9.1,33.22
31,3,9.2,33.43
32,3,9.3,33.65
32,3,9.4,33.87
32,3,9.5,34.08
33,3,9.6,34.3
33,3,9.7,34.52
34,3,9.8,34.73
34,3,9.9,34.95
34,3,10,35.17
2,3.1,2,18.28
3,3.1,2.1,18.5
3,3.1,2.2,18.72
3,3.1,2.3,18.93
4,3.1,2.4,19.15
4,3.1,2.5,19.37
5,3.1,2.6,19.58
5,3.1,2.7,19.8
5,3.1,2.8,20.02
6,3.1,2.9,20.23
6,3.1,3,20.45
7,3.1,3.1,20.67
7,3.1,3.2,20.88
7,3.1,3.3,21.1
8,3.1,3.4,21.32
8,3.1,3.5,21.53
9,3.1,3.6,21.75
9,3.1,3.7,21.97
9,3.1,3.8,22.18
10,3.1,3.9,22.4
10,3.1,4,22.62
11,3.1,4.1,22.83
11,3.1,4.2,23.05
11,3.1,4.3,23.27
12,3.1,4.4,23.48
12,3.1,4.5,23.7
13,3.1,4.6,23.92
13,3.1,4.7,24.13
13,3.1,4.8,24.35
14,3.1,4.9,24.57
14,3.1,5,24.78
15,3.1,5.1,25
15,3.1,5.2,25.22
15,3.1,5.3,25.43
16,3.1,5.4,25.65
16,3.1,5.5,25.87
17,3.1,5.6,26.08
17,3.1,5.7,26.3
17,3.1,5.8,26.52
18,3.1,5.9,26.73
18,3.1,6,26.95
19,3.1,6.1,27.17
19,3.1,6.2,27.38
19,3.1,6.3,27.6
20,3.1,6.4,27.82
20,3.1,6.5,28.03
21,3.1,6.6,28.25
21,3.1,6.7,28.47
21,3.1,6.8,28.68
22,3.1,6.9,28.9
22,3.1,7,29.12
23,3.1,7.1,29.33
23,3.1,7.2,29.55
23,3.1,7.3,29.77
24,3.1,7.4,29.98
24,3.1,7.5,30.2
25,3.1,7.6,30.42
25,3.1,7.7,30.63
25,3.1,7.8,30.85
26,3.1,7.9,31.07
26,3.1,8,31.28
27,3.1,8.1,31.5
27,3.1,8.2,31.72
27,3.1,8.3,31.93
28,3.1,8.4,32.15
28,3.1,8.5,32.37
29,3.1,8.6,32.58
29,3.1,8.7,32.8
29,3.1,8.8,33.02
30,3.1,8.9,33.23
30,3.1,9,33.45
31,3.1,9.1,33.67
31,3.1,9.2,33.88
31,3.1,9.3,34.1
32,3.1,9.4,34.32
32,3.1,9.5,34.53
33,3.1,9.6,34.75
33,3.1,9.7,34.97
33,3.1,9.8,35.18
34,3.1,9.9,35.4
34,3.1,10,35.62
2,3.2,2,18.73
3,3.2,2.1,18.95
3,3.2,2.2,19.17
3,3.2,2.3,19.38
4,3.2,2.4,19.6
4,3.2,2.5,19.82
5,3.2,2.6,20.03
5,3.2,2.7,20.25
5,3.2,2.8,20.47
6,3.2,2.9,20.68
6,3.2,3,20.9
7,3.2,3.1,21.12
7,3.2,3.2,21.33
7,3.2,3.3,21.55
8,3.2,3.4,21.77
8,3.2,3.5,21.98
9,3.2,3.6,22.2
9,3.2,3.7,22.42
9,3.2,3.8,22.63
10,3.2,3.9,22.85
10,3.2,4,23.07
11,3.2,4.1,23.28
11,3.2,4.2,23.5
11,3.2,4.3,23.72
12,3.2,4.4,23.93
12,3.2,4.5,24.15
13,3.2,4.6,24.37
13,3.2,4.7,24.58
13,3.2,4.8,24.8
14,3.2,4.9,25.02
14,3.2,5,25.23
15,3.2,5.1,25.45
15,3.2,5.2,25.67
15,3.2,5.3,25.88
16,3.2,5.4,26.1
16,3.2,5.5,26.32
17,3.2,5.6,26.53
17,3.2,5.7,26.75
17,3.2,5.8,26.97
18,3.2,5.9,27.18
18,3.2,6,27.4
19,3.2,6.1,27.62
19,3.2,6.2,27.83
19,3.2,6.3,28.05
20,3.2,6.4,28.27
20,3.2,6.5,28.48
21,3.2,6.6,28.7
21,3.2,6.7,28.92
21,3.2,6.8,29.13
22,3.2,6.9,29.35
22,3.2,7,29.57
23,3.2,7.1,29.78
23,3.2,7.2,30
23,3.2,7.3,30.22
24,3.2,7.4,30.43
24,3.2,7.5,30.65
25,3.2,7.6,30.87
25,3.2,7.7,31.08
25,3.2,7.8,31.3
26,3.2,7.9,31.52
26,3.2,8,31.73
27,3.2,8.1,31.95
27,3.2,8.2,32.17
27,3.2,8.3,32.38
